"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Robert D'Lon Harris",11.6282610636501,"34","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/06/Robert-DLon-Harris.jpg","2020-06-25","Oklahoma Highway Patrol","Gunshot","A trooper pulled over a vehicle for an unspecified traffic violation at 8:56 a.m. The trooper brought the female driver back to his patrol unit to speak with her. The trooper then went back to the vehicle and began speaking with the male passenger, Robert D'Lon Harris. Trooper Caleb Cole shot and killed Robert Harris. Harris and a female driver were ordered to exit their car; but while talking to the driver, troopers said Harris reached back into his vehicle.","Pending investigation","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","undetermined","Not fleeing","No",74301,"Vinita","OK",36.631673,-95.17303,"https://www.fourstateshomepage.com/news/oklahoma-highway-patrol-investigating-a-fatal-shooting-in-which-a-trooper-shot-and-killed-a-man-near-vinita/"
"Robert Dentmond",7.53047999524554,"16","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Detmond.jpg","2016-03-20","Alachua County Sheriff's Office, Gainesville Police Department","Gunshot","Officials say they responded to the Majestic Oaks apartment complex after Dentmond called 911 saying he had an automatic weapon and that he was going to shoot himself. Dentmond was shot and killed after officials told him to drop his gun, but he didn't comply. The ""gun"" turned out to be a toy rifle.","Pending investigation/No Known Charges","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","toy weapon","other","Not fleeing","No",32607,"Gainesville","FL",29.646189,-82.39658,"http://www.alligator.org/news/_breaking_news/article_41d55850-ef73-11e5-bf41-339b1ef95afa.html"
"Robert Douglas Delgado",52.2984593674357,"46","White","Male","https://fatalencounters.org/wp-content/uploads/2021/04/Robert-Douglas-Delgado.jpg","2021-04-16","Portland Police Bureau","Gunshot","Officers responded to a call of a man with a gun in a park. Officers fired less-lethal rounds at the person, and then Officer Zachary DeLong shot and killed them. ","Pending investigation","No known charges","","Unarmed/Did Not Have Actual Weapon","toy weapon","other","","no",97266,"Portland","OR",45.478641,-122.56233,"https://www.opb.org/article/2021/04/16/portland-police-shooting-lents-park/"
"Robert Earl Jackson",11.1819739610217,"54","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/09/Robert-Jackson.jpg","2020-08-31","Chilton County Sheriff's Office","Gunshot","Thorsby police conducted a traffic stop around 12:30 p.m. As officers came up to the vehicle, the driver allegedly pulled out a handgun and shot at the officers. He fled and continued to fire at officers. A police dog tracked Jackson to a wooded area, where he allegedly shot the dog and fired at deputies, two of whom shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","","",35171,"Thorsby","AL",32.907616,-86.71868,"https://www.wsfa.com/2020/08/31/thorsby-officer-okay-after-shots-were-fired-during-traffic-stop/"
"Robert Ethan Saylor",7.62997570702779,"26","White","Male","http://i.dailymail.co.uk/i/pix/2013/07/20/article-0-1AD882EE000005DC-792_306x423.jpg","2013-01-12","Frederick County Sheriff's Office","Asphyxiated","Robert ‘Ethan' Saylor, 26, died from asphyxia after three Frederick County Sheriff's deputies handcuffed the flailing, 294-pound man who had Downs syndrome as he screamed, cursed and cried for his mother. Saylor had not purchased a ticket for a repeat viewing of the movie Zero Dark Thirty.","Justified","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","","","",21701,"Frederick","MD",39.423344,-77.38902,"http://www.dailymail.co.uk/news/article-2370989/Ethan-Saylor-case-Sheriffs-office-releases-investigative-file-Down-syndrome-man-26-died-handcuffs-floor-refused-leave-movie-theater.html"
"Robert Frost",152.503020168221,"46","White","Male","http://www.killedbypolice.net/victims/150400.jpg","2015-05-05","Pulaski Police Department","Gunshot","A Desert Storm veteran with PTSD, Frost sat in his truck near Pulaski Storage when Officer A.M. Abdelaziz looked into the driver's side window and saw that he had a pistol in his lap. Abdelaziz called for backup. Frost woke and began shooting. Abdelaziz shot Frost. Frost opened the door of his truck and collapsed on the ground. It is not yet known whether any of his wounds are self-inflicted.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",24301,"Pulaski","VA",37.053297,-80.7728,"http://www.wsls.com/story/28977735/vsp-investigating-officer-involved-shooting-in-pulaski"
"Robert Guzman",8.0179667034936,"50","Hispanic","Male","http://www.noozhawk.com/images/uploads/Robert-Guzman175.jpg","2013-01-13","Santa Maria Police Department","Gunshot","Police responded to 911 call from suspect's neighbor, when suspect's wife and child ran into her house for help. Wife had been stabbed by Guzman. When police arrived, Guzman was in the neighbor's garage and threatened them with the knife and hedge clippers. Guzman was shot eight times by two officers. Shooting was ruled a justifiable homicide by the Santa Barbara County District Attorney's Office.","Justified","No known charges","Unknown","Allegedly Armed","knife","","","",93454,"Santa Maria","CA",34.900809,-120.34876,"http://santamariatimes.com/news/local/crime-and-courts/fatal-police-shooting-in-january-ruled-justifiable/article_26259ec6-37c4-11e3-869f-001a4bcf887a.html"
"Robert Harman Sword",18.0046234865696,"46","White","Male","","2020-03-27","Botetourt County Sheriff's Office","Gunshot","Around 10:12 a.m., the 911 center got a call about a suspicious man. Deputies responded and encountered Robert Sword, who police said had an unholstered firearm and pointed it at deputies. Sword reportedly appeared ill and was sitting in the middle of the road, and his vehicle was in a ditch. Police exchanged gunfire with Sword and shot and killed him.","Justified by County Commonwealth's Attorney","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",24066,"Buchanan","VA",37.532991,-79.68004,"https://wset.com/news/local/suspect-in-custody-after-officer-involved-shooting-in-botetourt-county"
"Robert Henderson",38.2930570585586,"37","Black","Male","","2014-07-26","Huntington Police Department","Gunshot","Henderson was arguing with someone at a restaurant. When police arrived he was waving a gun around. police feared for their lives, Henderson was shot and killed.","Unreported","No known charges","Unknown","Allegedly Armed","gun","","","",25703,"Huntington","WV",38.421443,-82.41924,"http://www.wsaz.com/home/headlines/Suspect-Shot-and-Killed-by-Huntington-Police-268698962.html"
"Robert Hensley",7.9912539298402,"39","White","Male","https://usgunviolence.files.wordpress.com/2014/01/robert-hensley.jpg?w=625","2013-04-10","Celina Police Department","Gunshot","Police responded to a 911 call of a man waving a pistol around; Robert Hensley was shot and killed. The gun was later found to be unloaded, and the city of Celina paid Hensley's family a $800,000 settlement for civil rights violations. Celina Officer Regedanz was cleared.","Justified","No known charges","Unknown","Allegedly Armed","gun","","","",45822,"Celina","OH",40.542778,-84.58232,"http://www.dailystandard.com/archive/2013-04-11/stories/20770/armed-man-killed-by-cop"
"Robert Howard",59.9910762324101,"44","Black","Male","","2016-04-15","Baltimore Police Department","Gunshot","Howard allegedly followed an off-duty detective into a liquor store, pulled out a replica gun and a knife, and tried to rob the detective. The officer fatally shot Howard with his service weapon.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","knife, toy","attack","Not fleeing","",21223,"Baltimore","MD",39.286556,-76.64644,"http://www.baltimoresun.com/news/maryland/crime/bs-md-ci-police-shooting-prior-case-20160419-story.html"
"Robert Johnson Jr.",3.73766961828337,"29","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/06/Robert-Johnson-Jr.jpg","2020-05-16","Baltimore County Police Department","Gunshot","A crowd from an afternoon cookout had dispersed after 10:30 p.m. when officers arrived at Cove Village Townhomes, but the first officer on the scene ""was confronted with an armed suspect and discharged his weapon,"" according to police. Johnson died at the hospital. Officers state they recovered a gun at the scene. Another person was shot and wounded in the leg.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","other","Not fleeing","Yes",21221,"Essex","MD",39.307737,-76.45171,"https://www.baltimoresun.com/news/crime/bs-md-co-cr-police-shooting-essex-20200517-s3qdk4nxe5edziyx6zrma6yhfy-story.html"
"Robert Lee Brown",7.44483327389219,"55","Black","Male","","2016-09-07","Albany Police Department","Gunshot","An officer was stabbed by Brown after he responded to a call of a suspicious person throwing items onto the road. When the officer arrived and spoke to Brown, he lunged at the officer, hitting him in the shoulder.The officer shot and killed Brown.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","knife","attack","Not fleeing","No",31701,"Albany","GA",31.580774,-84.16044,"http://www.walb.com/story/33035760/officer-stabbed-suspect-dies-after-being-shot"
"Robert Lee Canchola",1.79175946922805,"33","Unknown Race","Male","","2021-03-29","Corpus Christi Police Department","Gunshot","Officers were dispatched to Rich's Billiards for a shooting with injuries. Witnesses provided a description of the gunman and advised officers that he was last seen on foot, running toward an apartment complex. When officers found the gunman, he attempted to flee before allegedly pulling out a handgun. Officers Charles Tanner, Armando Cisneros, Remington Strickland, and Gerry Montelongo shot and killed Robert Lee Canchola.","Pending investigation","No known charges","No","Allegedly Armed","gun","other","foot","",78413,"Corpus Christi","TX",27.687792,-97.40165,"https://www.kiiitv.com/article/news/fatal-officer-involved-shooting-after-gunman-wounded-two-people/503-db2c8d06-3857-49c8-b664-b419ea59229d"
"Robert Lopez",23.9720681944933,"33","Hispanic","Male","http://usgunviolence.files.wordpress.com/2014/01/robert-lopez.jpg?w=625","2013-04-23","Tucson Police Department","Gunshot","Police found Lopez crouching in a doghouse in the backyard of a home. A woman who lives in the home had called police to report suspicious activity. He was shot multiple times by two police officers after he failed to comply with commands to drop his weapon and instead raised it toward the officers, police said.","Unknown","No known charges","No","Allegedly Armed","gun","","","",85711,"Tucson","AZ",32.216326,-110.88511,"http://www.wtoc.com/story/22075722/tpd-investigation-on-deadly-shooting-continues-this-morning"
"Robert Malone",29.653151055263,"42","Black","Male","http://kwtv.images.worldnow.com/images/8241047_G.jpg","2015-07-04","Oklahoma City Police Department","Gunshot","Officers responding to reports of an armed man walking around a parking lot of an apartment complex found and pursued Malone into the building, where two officers opened fire when the 42-year-old pointed the weapon at police.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",73135,"Oklahoma City","OK",35.40017,-97.43249,"http://newsok.com/oklahoma-city-police-shoot-kill-man-saturday/article/5431785"
"Robert Mark Frady",1.09861228866811,"45","White","Male","","2019-03-12","Cherokee County Sheriff's Office","Gunshot","Neighbors called 911 about 8:15 p.m. to report a domestic dispute at a mobile home, police said. When the first deputy arrived, he reportedly saw Frady holding the gun on the woman through an open door, ordered him to put down the gun and shot and killed him when he allegedly failed to comply.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",30183,"Waleska","GA",34.332315,-84.577,"https://www.ajc.com/news/crime--law/just-man-holding-gun-wife-head-shot-killed-cherokee-county-deputy/diZIzyuqKurtEeFQ2kgXwN/"
"Robert Martinez",39.5084060834791,"46","Hispanic","Male","","2019-02-01","Jefferson County Sheriff's Office","Gunshot","Just after 3 p.m., U.S. Marshals were trying to get in touch with Robert Martinez. Martinez was wanted on a federal arrest warrant for a probation violation, police said. After agents saw Martinez get in a vehicle driven by a woman, they attempted to stop the vehicle. The woman allegedly continued driving, eventually colliding with several unmarked police cars. An officer who was standing outside then fired shots toward her - striking her in the extremities and causing her vehicle to come to a stop. Martinez started reaching around inside the vehicle while refusing to follow orders to surrender to officers. A Jefferson County Sheriff's deputy shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Vehicle","vehicle","attack","Car","No",80219,"Denver","CO",39.698137,-105.03483,"https://www.9news.com/article/news/crime/dpd-2-kids-were-inside-car-when-federal-agent-shot-man-woman/73-7bdd7b28-7cc4-42dd-8579-4d279f6830a5"
"Robert Miller",61.9443650864084,"40","Unknown Race","Male","","2017-12-26","Tulare Police Department","Gunshot","Police responded to a domestic violence incident. They found the man they were looking for, and he allegedly went for a gun and was shot and killed.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",93274,"Tulare","CA",36.201451,-119.34994,"http://www.visaliatimesdelta.com/story/news/2017/12/26/developing-story-officer-involved-shooting-tulare/983473001/"
"Robert Moreno Jr.",23.2060237017487,"21","White","Male","http://blogs.ocweekly.com/navelgazing/lil_clumsy_anaheim.jpg","2014-03-20","Anaheim Police Department","Gunshot","Anaheim police was searching for suspects to search for three suspects. Two suspects took off running, but Moreno pulled a handgun out and shot a K-9. Police fired back, killing Moreno.","Justified","No known charges","No","Allegedly Armed","gun","","","",92801,"Anaheim","CA",33.844814,-117.95381,"http://blogs.ocweekly.com/navelgazing/2014/03/police_shooting_in_anaheim_lea.php?page=2"
"Robert Musser",4.58496747867057,"32","White","Male","https://fatalencounters.org/wp-content/uploads/2020/05/Robert-Musser.jpeg","2020-04-28","Phoenix Police Department","Gunshot","Officers tried to stop Robert Musser for a number of charges including home invasion and carjacking the rideshare vehicle he was driving in. Musser failed to stop, and the Phoenix police air unit followed the car into Buckeye. Officers were able to stop and trap him in his vehicle in Buckeye. Musser started shooting at officers, and they shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",85326,"Buckeye","AZ",33.354418,-112.56941,"https://www.azfamily.com/news/phoenix-police-involved-in-shooting-in-buckeye-suspect-in-hospital/article_88bc3028-897e-11ea-8683-4bf5b6275d9a.html"
"Robert Page",163.533618420749,"71","Unknown Race","Male","","2017-12-06","Coral Springs Police Department","Gunshot","Police responded to the home of Robert Page after receiving notification that he was threatening suicide and had weapons in the home, police said. Coral Springs Police negotiators tried to get Page to leave the home, but when he did he was armed with a shotgun and refused officers' commands to drop it. He was shot and killed.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","undetermined","Not fleeing","No",33071,"Pompano Beach","FL",26.242559,-80.26564,"https://www.nbcmiami.com/news/local/Suicidal-Man-Dead-After-Standoff-With-Coral-Springs-SWAT-462378763.html"
"Robert Paul Garcia",4.38202663467388,"38","Hispanic","Male","https://fatalencounters.org/wp-content/uploads/2021/05/Robert-Paul-Garcia.jpg","2021-04-19","Colorado State Patrol, Fountain Police Department","Gunshot","Deputies received a call for an attempted robbery at a Dairy Queen in Pueblo West. A short time after the attempted robbery at Dairy Queen, deputies spotted the suspect vehicle traveling more than 100 mph northbound on I-25. The driver pulled over, and a man riding in the truck got out, but the driver then sped off northbound on I-25. The man who allegedly got out, Jay Hemphill, was charged with complicity to commit aggravated robbery. Just south of the North Academy Boulevard the trooper used his or her vehicle to knock the car off the road. At least one shot was fired by a Fountain police officer, and at least one shot was fired by a trooper, with at least one bullet killing Robert Paul Garcia.","Pending investigation","No known charges","No","Unclear","undetermined","","car","",80920,"Colorado Springs","CO",38.952366,-104.76701,"https://www.kktv.com/2021/04/19/police-chase-ends-with-a-report-of-shots-fired-in-colorado-springs-along-i-25-on-monday/"
"Robert Quinn",204.209311364897,"77","Unknown Race","Male","","2015-08-09","Pittston Police Department","Gunshot","Quinn, in a motorized wheelchair outside his ""apartment complex for elderly, disabled and low-income residents"" and flourishing a pellet gun, was shot to death by local police after refusing 15 to 20 commands to drop his weapon.","Unreported","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","toy weapon","attack","Not fleeing","No",18640,"Pittston","PA",41.317242,-75.77942,"http://timesleader.com/news/local/376876/disabled-man-waving-gun-killed-by-police-in-pittston"
"Robert R. ""Bobby"" Mitchell",6.53087762772588,"27","White","Male","https://www.fatalencounters.org/wp-content/uploads/2018/10/Robert-R.-Bobby-Mitchell.jpg","2018-10-23","Scott County Sheriff's Office","Gunshot","A deputy with the Scott County Sheriff's Department stopped a vehicle. Police said Deputy Greg Hill and the driver, Robert Mitchell, fought. Hill shot Mitchell. After the shooting, Mitchell reportedly drove off, and the deputy chased him. The chase ended about four miles away where Mitchell was taken into custody and died at a hospital.","Pending investigation/No Known Charges","No known charges","No","Unclear","undetermined","undetermined","Car","No",52806,"Davenport","IA",41.574581,-90.60303,"https://wqad.com/2018/10/23/police-investigating-scene-of-shooting/"
"Robert Richard Berger",7.19743535409659,"48","Black","Male","http://www.killedbypolice.net/victims/150871.jpg","2015-09-23","Salt Lake City Police Department","Gunshot","Berger allegedly broke into two homes and was stabbing a woman in the second when officers shot him. Police said the woman's condition is unknown.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","knife","attack","Not fleeing","No",84111,"Salt Lake City","UT",40.7547,-111.88361,"http://fox13now.com/2015/09/23/officer-kills-burglary-suspect-found-stabbing-woman-in-salt-lake-break-in/"
"Robert Schneider",25.105771086316,"46","White","Male","","2019-07-31","Green Township Police Department, Cheviot Police Department","Gunshot","Richard Schneider was wanted for several felonies when Schneider fled police from Green Township, leading them into Westwood. An officer from Cheviot and one from Green Township shot and killed Schneider.","Justified by County Prosecutor","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",45211,"Cincinnati","OH",39.154159,-84.60527,"https://www.cincinnati.com/story/news/2019/08/09/police-shooting-westwood-wont-result-charges-suspect-dies/1968438001/"
"Robert Smith Jr.",6.83410873881384,"50","White","Male","https://www.fatalencounters.org/wp-content/uploads/2018/10/RobertSmith.png","2018-10-20","Pierce County Sheriff's Office","Gunshot","About 9:30 p.m., deputies responded to a report of domestic violence in Spanaway. A woman had called 9-1-1 to report that her boyfriend was intoxicated and armed, and she had locked herself in the bathroom. Once there, deputies said they confronted the boyfriend at the front door of the home. He was allegedly armed with a handgun in a hip holster. He allegedly did not comply with orders not to touch his handgun. Then deputies said he drew the handgun out of his holster toward the deputies, and they shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","other","Not fleeing","No",98387,"Spanaway","WA",47.077796,-122.40517,"https://www.theolympian.com/latest-news/article220413305.html"
"Robert Tincher",11.7498614617041,"49","White","Male","","2020-05-14","Union Township Police Department","Gunshot","An officer was called about 8:30 p.m. for unspecified reasons. Robert Tincher allegedly approached the officer, armed with the knife. Tincher would not drop the weapon or follow commands, and the officer reportedly tasered him and shot and killed him.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","knife","other","Not fleeing","No",45245,"Cincinnati","OH",39.075329,-84.27311,"https://local12.com/news/local/police-man-shot-by-union-township-officer-after-confrontation-cincinnati"
"Robert Wenman",5.82008293035236,"Unknown","Unknown Race","Male","","2020-06-22","Las Vegas Metropolitan Police Department","Gunshot","Officers responded to Craig Ranch Regional Park just before 4 p.m. for reports of a man who had sustained a gunshot wound. When officers arrived, the man pulled out a gun and threatened to commit suicide. Police spoke with the man, but he never put down his gun. Eventually, he reportedly approached them with his gun raised. One officer fired a single shot, killing him.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","gun","attack","","",89032,"North Las Vegas","NV",36.224218,-115.1763,"https://www.ktnv.com/news/man-threatening-suicide-killed-by-police-at-craig-ranch-regional-park"
"Robert Wilburn Head",14.7640066838517,"Unknown","White","Male","","2016-12-08","Allen Police Department","Gunshot","Allen Police shot and killed a man while responding to a reported domestic disturbance. Police said a man came out of the home and fired a gun at the officers. The officers shot and killed him.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",75002,"Allen","TX",33.092846,-96.62447,"http://www.nbcdfw.com/news/local/Allen-Police-Fatally-Shoot-405554496.html"
"Roberto Rodriguez",38.5616675443376,"39","Hispanic","Male","","2015-04-08","Los Angeles Police Department","Gunshot","Officers chased the suspect, wanted for an earlier murder, on foot and shot him dead.","Unreported","No known charges","No","Allegedly Armed","gun","attack","Foot","No",90033,"Los Angeles","CA",34.050411,-118.21195,"http://www.latimes.com/local/lanow/la-me-ln-boyle-heights-ois-man-identified-20150410-story.html"
"Robin Barber",3.13549421592915,"28","White","Male","http://www.killedbypolice.net/16/v/160366.jpg","2016-04-26","Lakewood Police Department","Gunshot","Police said they were monitoring a suspicious car in a motel parking lot when Barber approached the car. When police stopped Barber to question him, he fled and fired at police during a foot chase before officers shot back and killed him, authorities said.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",80226,"Denver","CO",39.71222,-105.08918,"http://www.denverpost.com/news/ci_29818018/lakewood-police-investigate-officer-involved-shooting"
"Robin White",14.5668964575133,"50","Black","Female","","2017-05-10","St. Louis Metropolitan Police Department","Gunshot","Robin White, 50, was reportedly firing a gun outside of a house. When police responded to the house, officers demanded she drop her weapon, but she continued to fire shots. After she refused to drop her gun, one officer fired several shots, killing the woman.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",63116,"Saint Louis","MO",38.580552,-90.26307,"http://www.kmov.com/story/35395160/woman-shot-killed-in-holly-hills-neighborhood"
"Rocky Lee",14.0034015764731,"57","White","Male","","2018-05-25","Stagecoach Police Department","Gunshot","Stagecoach Police Department Officer Robert Lee, shot and killed his brother, Rocky Lee, an off-duty Harris County Sheriff's Office deputy, police said.","Charged with murder, Ruled not guilty by reason of insanity","Charged, Acquitted","No","Unclear","undetermined","","","",77355,"Magnolia","TX",30.158706,-95.74464,"https://www.click2houston.com/news/deputy-shoots-suspect-in-stagecoach-authorities-say"
"Rocky Miles West",147.698137696218,"28","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Rocky-Miles-West.jpg","2017-11-24","Hays County Sheriff's Department","Gunshot","Hays County Sheriff's Department responded to a call of a possible break-in at Jean's Antiques. Several deputies arrived, and someone began shooting at them, striking their patrol vehicles and wounding one of the deputies. The deputies fired back, and West was found dead in the woods.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",78676,"Wimberley","TX",30.022492,-98.13294,"https://www.wimberleyview.com/articles/2017/11/24/wimberley-man-dead-after-officer-involved-shooting"
"Rod Lucas",7.23561914106675,"46","White","Male","","2016-10-31","Fresno County Sheriff's Office","Gunshot","Lucas, a sergeant with the sheriff's office, was accidentally shot by a colleague inside an office building, according to authorities. Investigators believe that several officers were having a conversation about weapons safety when a detective's gun discharged and struck Lucas.","Charged with involuntary manslaughter, Acquitted","Charged, Acquitted","No","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","",93727,"Fresno","CA",36.753177,-119.69703,"http://www.fresnobee.com/news/local/article111892927.html"
"Roderick Inge",7.42714413340862,"29","Black","Male","https://fatalencounters.org/wp-content/uploads/2021/04/Roderick-Inge.jpg","2021-04-15","Tuscaloosa Police Department","Gunshot","Officers responded to report of a domestic dispute involving a man who authorities say shot into a vehicle carrying his two children, ages 3 and 5, and their mother. As officers were speaking with the victim, police said they observed Roderick Inge driving in the area and chased him. After a short car chase, Inge ditched his vehicle in a parking lot and ran into a wooded area. He was found in a wooded area, and allegedly produced and fired a handgun as officers approached. The officers shot and killed him.","Pending investigation","No known charges","No","Allegedly armed","gun","attack","foot","",35405,"Tuscaloosa","AL",33.149246,-87.52303,"https://www.wvtm13.com/article/tuscaloosa-pd-shooting-involving-officer-sends-one-to-the-hospital/36138497"
"Roderick Wilson",6.50128967054039,"35","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/07/Roderick-Wilson.jpg","2019-07-17","Birmingham Police Department","Gunshot","Roderick Wilson allegedly robbed a mom-n-pop supermarket and then engaged officers in a running gun battle before he was shot and killed in a row of hedges along 22nd Street North.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",35203,"Birmingham","AL",33.519055,-86.8097,"https://www.al.com/news/birmingham/2019/07/man-killed-in-shootout-that-injured-cullen-stafford-had-history-of-threatening-police.html"
"Rodney Applewhite",15.5968479050632,"25","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/12/RodneyApplewhite.jpg","2020-11-19","New Mexico State Police ","Gunshot","Troopers were attempting to stop a vehicle when suddenly the car took off and reportedly began to swerve in and out of traffic. Police began a pursuit but were later called off when the vehicle started to drive in the middle of the road. Approximately 10 minutes later, officers received a call that the person was standing in the middle of Manzano Expressway attempting to stop traffic. One of the police officers tried to take the Rodney Applewhite into custody, the man resisted, and during a fight, the man allegedly grabbed one of the officers' gun and was shot and killed.","Pending investigation","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","undetermined","Car","No",87031,"Los Lunas","NM",34.786133,-106.70536,"https://www.krqe.com/news/new-mexico/suspect-injured-following-officer-involved-shooting-in-los-lunas/"
"Rodney Arnez Barnes",10.7689901255782,"48","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/11/Rodney-Arnez-Barnes.jpg","2020-10-20","Elmwood Place Police Department","Gunshot","Officer Nicholas Arn initiated a traffic stop which Barnes was driving. During the traffic stop, gunfire was allegedly exchanged between Arn and Barnes, resulting in Barnes being shot. Barnes later died at the University of Cincinnati Medical Center.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Not Fleeing","No",45216,"Cincinnati","OH",39.197109,-84.47991,"https://www.wlwt.com/article/deputies-id-man-killed-in-shootout-with-officer-in-elmwood-place/34428267#"
"Rodney Eubanks",10.5765340613891,"25","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/11/Rodney-Eubanks.jpg","2020-11-09","Baltimore Police Department","Gunshot","Police were in an unmarked vehicle doing surveillance reportedly as part of a domestic violence investigation around 9:41 a.m. Rodney Eubanks allegedly pulled up at the intersection in a vehicle around that time, got out and fired into the officers' vehicle, striking one officer in the upper thigh.The officers shot and killed him.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","Not Fleeing","No",21216,"Baltimore","MD",39.310006,-76.67029,"https://www.baltimoresun.com/news/crime/bs-md-ci-cr-baltimore-police-shooting-rosemont-20201109-vusjfmrfhnhqjbzw4b7olvhx24-story.html"
"Rodney Toler",0.693147180559945,"39","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2018/04/Rodney-Toler.jpg","2018-03-29","South Charleston Police Department","Gunshot","After a vehicle chase and gunfight with police, Rodney Toler was shot and killed.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Car","No",25302,"Charleston","WV",38.375397,-81.62367,"https://www.wvgazettemail.com/news/kanawha_county/multi-city-pursuit-ends-with-one-dead-in-charleston/article_b7ed3416-f57b-5cca-b253-2fa92d0b0dbd.html"
"Rodney Turner",15.1644583885529,"22","Black","Male","https://pbs.twimg.com/media/CX-OJ25UAAA_jR8.jpg","2016-01-04","Oklahoma City Police Department","Gunshot","Police were called to the Crestpark Apartments, where a victim said that multiple people broke into the home, showed a gun and demanded money. Rodney Turner, 22, was walking in the complex and matched a suspect description. Police said Turner grabbed the officer's rifle and attempted to disarm him. Police said the officer drew his sidearm and shot at Turner during the scuffle. Turner fled, but his weapon was found at the scene. Police were called to an apartment in reference to a shooting victim a short time later. According to police, Turner was found in the apartment.Turner again attempted to disarm an officer and was shot at again. He ran away, but police received a second call stating that a shot individual was inside another apartment at a different location approximately two blocks away. It's unclear from articles when Turner died.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","Yes",73112,"Oklahoma City","OK",35.517857,-97.57284,"http://www.koco.com/news/okc-police-investigating-officerinvolved-shooting-on-northwest-side/37266056"
"Rodney Walker",7.74716496652033,"23","Black","Male","http://bloximages.newyork1.vip.townnews.com/tulsaworld.com/content/tncms/assets/v3/editorial/5/ba/5baa9b34-1bc8-5e35-a2d8-7b4c9888262f/54bb20114e970.image.jpg","2015-01-16","Department of Veterans Affairs","Gunshot","Witnesses say they saw a domestic disturbance occur blocks from a concert, in which Walker was abusing a woman. An officer witnessed the altercation and tried to intervene. When he approached Walker, the officer said he saw Walker reach for a gun so he shot Walker.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","","","",74119,"Tulsa","OK",36.142743,-95.98872,"http://kfor.com/2015/01/17/update-on-off-duty-officer-shooting-at-garth-brooks-concert-in-tulsa/"
